disaster_type,rainfall,water_level,wind_speed,atmospheric_pressure,magnitude,depth,seismic_intensity,population_density,previous_disasters,risk
Flood,192.0,5.16,118.0,,,,,687,1,Medium
Flood,160.0,9.91,45.0,,,,,443,7,High
Flood,261.0,1.0,106.0,,,,,1417,2,Medium
Flood,239.0,2.67,140.0,,,,,670,2,Medium
Flood,145.0,4.46,82.0,,,,,710,3,Medium
Flood,77.0,9.39,145.0,,,,,342,3,Medium
Flood,167.0,1.63,106.0,,,,,660,6,Medium
Flood,20.0,1.09,132.0,,,,,1059,0,Low
Flood,209.0,1.47,79.0,,,,,131,6,Medium
Flood,210.0,1.8,22.0,,,,,490,6,Medium
Flood,136.0,1.34,58.0,,,,,376,7,Medium
Flood,153.0,5.32,69.0,,,,,631,2,Medium
Flood,77.0,6.23,139.0,,,,,1277,7,High
Flood,63.0,3.45,14.0,,,,,482,7,Low
Flood,192.0,4.58,36.0,,,,,1191,1,Medium
Flood,179.0,1.83,17.0,,,,,983,2,Medium
Flood,192.0,4.03,59.0,,,,,313,0,Medium
Flood,168.0,5.7,76.0,,,,,475,5,Medium
Flood,99.0,7.59,53.0,,,,,843,3,Medium
Flood,232.0,1.03,134.0,,,,,312,3,Medium
Flood,222.0,5.21,67.0,,,,,178,0,Medium
Flood,271.0,3.67,12.0,,,,,727,7,Medium
Flood,248.0,8.68,95.0,,,,,703,6,High
Flood,183.0,7.44,79.0,,,,,881,1,Medium
Flood,246.0,6.3,139.0,,,,,1100,7,High
Flood,166.0,3.5,11.0,,,,,779,3,Medium
Flood,39.0,9.19,111.0,,,,,157,4,Medium
Flood,66.0,1.41,44.0,,,,,1149,6,Medium
Flood,252.0,1.99,107.0,,,,,980,3,Medium
Flood,33.0,4.52,39.0,,,,,546,4,Low
Flood,162.0,2.12,125.0,,,,,165,7,Medium
Flood,20.0,9.61,17.0,,,,,1377,0,Medium
Flood,73.0,8.18,53.0,,,,,1167,0,Medium
Flood,278.0,3.33,45.0,,,,,1220,6,High
Flood,163.0,6.3,86.0,,,,,1111,3,Medium
Flood,31.0,9.84,40.0,,,,,326,2,Medium
Flood,243.0,8.96,56.0,,,,,873,4,High
Flood,291.0,6.41,64.0,,,,,778,1,High
Flood,175.0,9.13,115.0,,,,,700,3,High
Flood,27.0,9.9,130.0,,,,,478,1,Medium
Flood,141.0,7.69,64.0,,,,,1301,3,Medium
Flood,183.0,1.58,21.0,,,,,808,2,Medium
Flood,109.0,4.61,149.0,,,,,406,2,Medium
Flood,155.0,8.54,145.0,,,,,878,6,High
Flood,205.0,3.08,12.0,,,,,603,6,Medium
Flood,197.0,8.48,39.0,,,,,367,2,Medium
Flood,47.0,2.08,32.0,,,,,107,5,Low
Flood,239.0,1.42,101.0,,,,,607,2,Medium
Flood,60.0,4.46,124.0,,,,,575,0,Medium
Flood,247.0,1.33,113.0,,,,,1420,0,Medium
Flood,211.0,9.62,127.0,,,,,263,5,High
Flood,164.0,8.44,14.0,,,,,584,7,Medium
Flood,220.0,8.21,113.0,,,,,1195,4,High
Flood,231.0,6.67,117.0,,,,,666,7,High
Flood,239.0,2.95,74.0,,,,,1004,1,Medium
Flood,259.0,5.66,130.0,,,,,658,7,High
Flood,65.0,6.38,39.0,,,,,337,3,Medium
Flood,54.0,5.73,93.0,,,,,1227,7,Medium
Flood,272.0,3.34,41.0,,,,,1333,3,Medium
Flood,101.0,5.64,25.0,,,,,653,5,Medium
Flood,275.0,5.42,47.0,,,,,927,0,Medium
Flood,216.0,9.97,45.0,,,,,567,6,High
Flood,29.0,9.08,123.0,,,,,1391,3,High
Flood,261.0,5.17,75.0,,,,,485,0,Medium
Flood,270.0,6.61,114.0,,,,,874,4,High
Flood,24.0,7.73,94.0,,,,,947,1,Medium
Flood,138.0,1.31,11.0,,,,,486,4,Low
Flood,84.0,9.05,84.0,,,,,976,5,Medium
Flood,165.0,8.74,76.0,,,,,358,7,High
Flood,243.0,5.12,64.0,,,,,382,7,Medium
Flood,258.0,4.52,15.0,,,,,139,2,Medium
Flood,196.0,3.46,95.0,,,,,585,2,Medium
Flood,286.0,5.29,69.0,,,,,1028,2,High
Flood,82.0,1.4,110.0,,,,,319,4,Medium
Flood,236.0,8.67,21.0,,,,,1252,3,High
Flood,196.0,1.32,58.0,,,,,1114,1,Medium
Flood,117.0,3.96,51.0,,,,,1123,2,Medium
Flood,124.0,9.38,91.0,,,,,712,5,High
Flood,118.0,7.62,44.0,,,,,1027,5,Medium
Flood,25.0,3.53,143.0,,,,,787,2,Medium
Flood,216.0,3.27,76.0,,,,,712,7,Medium
Flood,152.0,1.05,89.0,,,,,359,2,Medium
Flood,278.0,7.26,16.0,,,,,1089,1,High
Flood,42.0,1.44,23.0,,,,,1065,2,Low
Flood,72.0,5.79,82.0,,,,,465,1,Medium
Flood,184.0,9.66,75.0,,,,,643,5,High
Flood,221.0,1.99,100.0,,,,,748,2,Medium
Flood,102.0,9.05,139.0,,,,,913,4,High
Flood,164.0,9.92,29.0,,,,,1139,6,High
Flood,104.0,1.55,19.0,,,,,1252,4,Medium
Flood,97.0,8.95,34.0,,,,,674,5,Medium
Flood,20.0,5.64,34.0,,,,,1232,1,Low
Flood,70.0,9.16,63.0,,,,,1112,4,Medium
Flood,192.0,6.14,42.0,,,,,769,1,Medium
Flood,224.0,6.96,104.0,,,,,368,4,High
Flood,279.0,5.89,23.0,,,,,1285,4,High
Flood,53.0,8.78,74.0,,,,,1383,1,Medium
Flood,114.0,7.61,119.0,,,,,1023,3,High
Flood,91.0,5.69,89.0,,,,,1225,4,Medium
Cyclone,331.0,,64.0,924.0,,,,1091,6,Medium
Cyclone,426.0,,116.0,927.0,,,,1479,6,High
Cyclone,252.0,,163.0,1010.0,,,,306,2,Medium
Cyclone,251.0,,225.0,914.0,,,,1358,6,High
Cyclone,32.0,,47.0,903.0,,,,1478,2,Medium
Cyclone,35.0,,230.0,992.0,,,,614,6,Medium
Cyclone,122.0,,142.0,972.0,,,,1331,3,Medium
Cyclone,37.0,,58.0,926.0,,,,808,2,Low
Cyclone,457.0,,106.0,925.0,,,,1248,0,High
Cyclone,264.0,,88.0,918.0,,,,237,2,Medium
Cyclone,137.0,,204.0,1019.0,,,,438,2,Medium
Cyclone,190.0,,155.0,991.0,,,,636,3,Medium
Cyclone,238.0,,174.0,916.0,,,,167,3,Medium
Cyclone,269.0,,138.0,942.0,,,,482,2,Medium
Cyclone,360.0,,51.0,1020.0,,,,118,7,Medium
Cyclone,362.0,,97.0,940.0,,,,782,1,Medium
Cyclone,79.0,,98.0,941.0,,,,173,7,Medium
Cyclone,40.0,,194.0,949.0,,,,672,3,Medium
Cyclone,380.0,,78.0,983.0,,,,1038,7,Medium
Cyclone,185.0,,170.0,1008.0,,,,1399,7,Medium
Cyclone,99.0,,191.0,939.0,,,,1171,4,Medium
Cyclone,198.0,,138.0,938.0,,,,310,4,Medium
Cyclone,301.0,,115.0,1012.0,,,,954,0,Medium
Cyclone,97.0,,82.0,1016.0,,,,750,6,Low
Cyclone,384.0,,152.0,922.0,,,,1093,2,High
Cyclone,281.0,,116.0,1010.0,,,,794,1,Medium
Cyclone,77.0,,208.0,995.0,,,,639,0,Medium
Cyclone,213.0,,160.0,951.0,,,,1314,2,Medium
Cyclone,349.0,,71.0,946.0,,,,1438,7,Medium
Cyclone,216.0,,127.0,962.0,,,,1000,3,Medium
Cyclone,119.0,,189.0,996.0,,,,879,4,Medium
Cyclone,475.0,,138.0,1020.0,,,,1236,5,Medium
Cyclone,361.0,,80.0,1009.0,,,,269,1,Low
Cyclone,168.0,,114.0,968.0,,,,1137,7,Medium
Cyclone,386.0,,203.0,942.0,,,,387,5,High
Cyclone,118.0,,156.0,947.0,,,,288,4,Medium
Cyclone,303.0,,50.0,933.0,,,,1013,7,Medium
Cyclone,48.0,,73.0,939.0,,,,1278,6,Medium
Cyclone,500.0,,168.0,974.0,,,,793,6,High
Cyclone,340.0,,132.0,960.0,,,,987,5,Medium
Cyclone,387.0,,97.0,949.0,,,,570,3,Medium
Cyclone,403.0,,158.0,966.0,,,,1198,7,High
Cyclone,495.0,,121.0,961.0,,,,376,2,Medium
Cyclone,183.0,,220.0,957.0,,,,1039,7,High
Cyclone,419.0,,53.0,932.0,,,,1466,3,Medium
Cyclone,289.0,,154.0,974.0,,,,670,7,Medium
Cyclone,137.0,,170.0,915.0,,,,956,5,High
Cyclone,400.0,,140.0,981.0,,,,1100,3,Medium
Cyclone,314.0,,127.0,993.0,,,,1305,4,Medium
Cyclone,88.0,,168.0,947.0,,,,557,1,Medium
Cyclone,154.0,,208.0,1018.0,,,,1017,3,Medium
Cyclone,383.0,,46.0,909.0,,,,932,7,High
Cyclone,302.0,,128.0,981.0,,,,1187,4,Medium
Cyclone,136.0,,111.0,937.0,,,,938,1,Medium
Cyclone,328.0,,133.0,918.0,,,,1383,6,High
Cyclone,274.0,,243.0,935.0,,,,292,2,High
Cyclone,365.0,,181.0,958.0,,,,715,5,High
Cyclone,479.0,,48.0,962.0,,,,505,7,Medium
Cyclone,447.0,,194.0,976.0,,,,1042,7,High
Cyclone,276.0,,114.0,1019.0,,,,820,6,Medium
Cyclone,37.0,,37.0,945.0,,,,192,2,Low
Cyclone,170.0,,57.0,902.0,,,,529,6,Medium
Cyclone,391.0,,34.0,973.0,,,,753,0,Medium
Cyclone,37.0,,174.0,1001.0,,,,533,6,Medium
Cyclone,381.0,,130.0,964.0,,,,1235,4,High
Cyclone,123.0,,193.0,1018.0,,,,474,1,Medium
Cyclone,350.0,,147.0,1019.0,,,,1182,7,Medium
Cyclone,456.0,,176.0,990.0,,,,1166,6,High
Cyclone,68.0,,93.0,1009.0,,,,306,7,Low
Cyclone,110.0,,120.0,907.0,,,,879,3,Medium
Cyclone,216.0,,146.0,950.0,,,,1419,2,Medium
Cyclone,113.0,,127.0,1009.0,,,,1241,6,Medium
Cyclone,117.0,,40.0,1005.0,,,,631,1,Low
Cyclone,271.0,,83.0,980.0,,,,1345,4,Medium
Cyclone,371.0,,202.0,972.0,,,,265,0,Medium
Cyclone,122.0,,76.0,905.0,,,,742,7,Medium
Cyclone,115.0,,169.0,1006.0,,,,1279,2,Medium
Cyclone,73.0,,178.0,988.0,,,,1307,5,Medium
Cyclone,166.0,,168.0,938.0,,,,189,1,Medium
Cyclone,450.0,,249.0,1012.0,,,,1217,5,High
Cyclone,103.0,,34.0,959.0,,,,112,1,Low
Cyclone,65.0,,238.0,927.0,,,,1072,1,High
Cyclone,130.0,,213.0,996.0,,,,904,4,Medium
Cyclone,185.0,,49.0,953.0,,,,1044,4,Medium
Cyclone,455.0,,198.0,936.0,,,,841,4,High
Cyclone,284.0,,75.0,908.0,,,,975,6,Medium
Cyclone,200.0,,41.0,981.0,,,,1273,3,Medium
Cyclone,498.0,,99.0,955.0,,,,759,1,Medium
Cyclone,245.0,,46.0,958.0,,,,1131,2,Medium
Cyclone,199.0,,144.0,984.0,,,,1152,5,Medium
Cyclone,281.0,,176.0,901.0,,,,395,4,High
Cyclone,389.0,,183.0,960.0,,,,1085,6,High
Cyclone,351.0,,77.0,957.0,,,,1025,4,Medium
Cyclone,84.0,,137.0,1006.0,,,,739,5,Medium
Cyclone,485.0,,81.0,959.0,,,,439,5,Medium
Cyclone,461.0,,125.0,1001.0,,,,727,7,Medium
Cyclone,120.0,,99.0,939.0,,,,538,1,Medium
Cyclone,307.0,,212.0,935.0,,,,1267,4,High
Cyclone,130.0,,131.0,1013.0,,,,1041,5,Medium
Cyclone,184.0,,104.0,1006.0,,,,929,3,Medium
Cyclone,406.0,,190.0,936.0,,,,618,3,High
Cyclone,378.0,,219.0,978.0,,,,1075,4,High
Cyclone,480.0,,245.0,991.0,,,,1168,6,High
Cyclone,393.0,,180.0,917.0,,,,1054,5,High
Cyclone,170.0,,172.0,997.0,,,,1362,7,Medium
Cyclone,202.0,,184.0,962.0,,,,1051,1,Medium
Cyclone,39.0,,232.0,921.0,,,,1043,1,Medium
Cyclone,257.0,,221.0,910.0,,,,254,6,High
Cyclone,294.0,,238.0,957.0,,,,1304,7,High
Cyclone,467.0,,208.0,956.0,,,,1338,1,High
Cyclone,277.0,,210.0,976.0,,,,187,7,High
Cyclone,276.0,,235.0,903.0,,,,1379,0,High
Cyclone,184.0,,248.0,985.0,,,,1196,4,High
Cyclone,63.0,,111.0,906.0,,,,1030,1,Medium
Cyclone,158.0,,121.0,960.0,,,,278,3,Medium
Cyclone,189.0,,208.0,1006.0,,,,311,5,Medium
Cyclone,118.0,,204.0,953.0,,,,1357,7,High
Cyclone,122.0,,33.0,987.0,,,,564,7,Low
Cyclone,356.0,,164.0,967.0,,,,1346,2,High
Cyclone,270.0,,138.0,991.0,,,,730,6,Medium
Cyclone,352.0,,192.0,978.0,,,,924,2,High
Cyclone,497.0,,77.0,900.0,,,,1387,1,High
Cyclone,433.0,,102.0,954.0,,,,1330,2,Medium
Cyclone,146.0,,101.0,902.0,,,,706,2,Medium
Cyclone,123.0,,145.0,977.0,,,,984,0,Medium
Cyclone,192.0,,202.0,937.0,,,,465,7,High
Cyclone,128.0,,110.0,1013.0,,,,375,3,Low
Cyclone,142.0,,110.0,1020.0,,,,479,6,Low
Cyclone,388.0,,142.0,900.0,,,,1432,3,High
Cyclone,120.0,,125.0,1001.0,,,,1391,0,Medium
Cyclone,375.0,,101.0,937.0,,,,1044,0,Medium
Cyclone,235.0,,176.0,984.0,,,,1187,2,Medium
Cyclone,46.0,,92.0,1011.0,,,,909,4,Low
Cyclone,303.0,,67.0,928.0,,,,1473,7,Medium
Cyclone,202.0,,96.0,904.0,,,,1024,5,Medium
Cyclone,145.0,,216.0,1012.0,,,,593,7,Medium
Cyclone,378.0,,98.0,973.0,,,,1221,5,Medium
Cyclone,497.0,,42.0,991.0,,,,1194,2,Medium
Cyclone,210.0,,204.0,920.0,,,,463,5,High
Cyclone,120.0,,218.0,1013.0,,,,669,0,Medium
Cyclone,111.0,,60.0,970.0,,,,862,3,Low
Cyclone,353.0,,237.0,966.0,,,,375,5,High
Cyclone,478.0,,143.0,1008.0,,,,149,7,Medium
Cyclone,143.0,,51.0,946.0,,,,1481,6,Medium
Cyclone,286.0,,122.0,983.0,,,,827,2,Medium
Cyclone,87.0,,243.0,982.0,,,,1005,4,Medium
Cyclone,183.0,,200.0,934.0,,,,1027,2,High
Cyclone,394.0,,96.0,967.0,,,,663,1,Medium
Cyclone,433.0,,83.0,968.0,,,,882,2,Medium
Cyclone,145.0,,167.0,900.0,,,,584,0,Medium
Cyclone,372.0,,71.0,967.0,,,,1207,3,Medium
Cyclone,295.0,,93.0,911.0,,,,683,3,Medium
Cyclone,344.0,,155.0,959.0,,,,1419,6,High
Cyclone,232.0,,50.0,926.0,,,,335,5,Medium
Cyclone,70.0,,237.0,955.0,,,,155,0,Medium
Cyclone,134.0,,233.0,1005.0,,,,459,1,Medium
Cyclone,418.0,,223.0,922.0,,,,209,0,High
Cyclone,407.0,,198.0,924.0,,,,291,2,High
Cyclone,222.0,,181.0,920.0,,,,1003,0,Medium
Cyclone,430.0,,64.0,960.0,,,,1216,0,Medium
Cyclone,307.0,,213.0,962.0,,,,961,6,High
Cyclone,383.0,,59.0,951.0,,,,667,1,Medium
Cyclone,266.0,,86.0,987.0,,,,1183,2,Medium
Cyclone,454.0,,76.0,924.0,,,,749,4,High
Cyclone,250.0,,192.0,1008.0,,,,138,6,Medium
Cyclone,97.0,,48.0,954.0,,,,1172,4,Medium
Cyclone,226.0,,143.0,945.0,,,,736,6,Medium
Cyclone,285.0,,37.0,931.0,,,,1136,3,Medium
Cyclone,168.0,,55.0,954.0,,,,135,7,Medium
Cyclone,341.0,,142.0,995.0,,,,200,6,Medium
Cyclone,464.0,,100.0,904.0,,,,1209,5,High
Cyclone,178.0,,59.0,935.0,,,,1346,0,Medium
Cyclone,128.0,,164.0,1009.0,,,,1461,3,Medium
Cyclone,105.0,,96.0,1005.0,,,,265,1,Low
Cyclone,311.0,,94.0,948.0,,,,482,4,Medium
Cyclone,400.0,,65.0,1005.0,,,,1499,7,Medium
Cyclone,432.0,,54.0,957.0,,,,889,7,Medium
Cyclone,138.0,,66.0,938.0,,,,130,6,Medium
Cyclone,217.0,,30.0,979.0,,,,1498,0,Low
Cyclone,228.0,,172.0,996.0,,,,110,1,Medium
Cyclone,332.0,,66.0,1012.0,,,,1425,5,Medium
Cyclone,356.0,,170.0,984.0,,,,195,1,Medium
Cyclone,183.0,,165.0,960.0,,,,1313,0,Medium
Cyclone,69.0,,162.0,908.0,,,,552,5,Medium
Cyclone,162.0,,217.0,905.0,,,,291,1,High
Cyclone,434.0,,157.0,1014.0,,,,585,5,Medium
Cyclone,491.0,,230.0,1008.0,,,,1389,6,High
Cyclone,161.0,,156.0,934.0,,,,1251,6,High
Cyclone,308.0,,30.0,938.0,,,,337,0,Medium
Cyclone,391.0,,193.0,921.0,,,,1478,0,High
Cyclone,113.0,,64.0,940.0,,,,1235,5,Medium
Cyclone,428.0,,223.0,1017.0,,,,1466,2,High
Cyclone,271.0,,220.0,904.0,,,,1268,3,High
Cyclone,145.0,,133.0,941.0,,,,1188,7,Medium
Cyclone,138.0,,52.0,986.0,,,,1370,1,Low
Cyclone,250.0,,38.0,980.0,,,,834,1,Low
Cyclone,421.0,,63.0,975.0,,,,1090,2,Medium
Cyclone,70.0,,203.0,986.0,,,,924,2,Medium
Cyclone,397.0,,235.0,979.0,,,,205,2,High
Cyclone,176.0,,157.0,966.0,,,,280,4,Medium
Cyclone,141.0,,33.0,929.0,,,,283,4,Low
Cyclone,132.0,,187.0,956.0,,,,325,5,Medium
Cyclone,75.0,,131.0,985.0,,,,876,4,Medium
Cyclone,441.0,,104.0,972.0,,,,889,6,Medium
Cyclone,353.0,,128.0,928.0,,,,1212,6,High
Cyclone,407.0,,101.0,1010.0,,,,787,0,Medium
Cyclone,300.0,,32.0,936.0,,,,629,7,Medium
Cyclone,450.0,,171.0,986.0,,,,1494,5,High
Cyclone,414.0,,217.0,912.0,,,,1071,7,High
Cyclone,224.0,,234.0,931.0,,,,1035,1,High
Cyclone,396.0,,202.0,945.0,,,,205,3,High
Cyclone,309.0,,63.0,1015.0,,,,1394,0,Low
Cyclone,312.0,,74.0,1010.0,,,,930,1,Medium
Cyclone,69.0,,90.0,1011.0,,,,778,1,Low
Cyclone,476.0,,112.0,922.0,,,,948,5,High
Cyclone,218.0,,152.0,944.0,,,,1155,2,Medium
Cyclone,193.0,,131.0,916.0,,,,492,2,Medium
Cyclone,53.0,,45.0,1018.0,,,,139,7,Low
Cyclone,53.0,,95.0,1003.0,,,,759,0,Low
Cyclone,33.0,,197.0,984.0,,,,1341,2,Medium
Cyclone,352.0,,174.0,965.0,,,,1080,1,Medium
Cyclone,319.0,,148.0,1000.0,,,,1205,2,Medium
Cyclone,470.0,,191.0,905.0,,,,944,4,High
Cyclone,462.0,,153.0,1007.0,,,,300,2,Medium
Cyclone,500.0,,173.0,917.0,,,,546,1,High
Cyclone,210.0,,131.0,993.0,,,,1161,7,Medium
Cyclone,277.0,,217.0,921.0,,,,1334,5,High
Cyclone,145.0,,95.0,1017.0,,,,543,0,Low
Cyclone,308.0,,223.0,932.0,,,,1450,3,High
Cyclone,394.0,,247.0,929.0,,,,860,2,High
Cyclone,98.0,,42.0,980.0,,,,326,6,Low
Cyclone,380.0,,213.0,1006.0,,,,147,6,High
Cyclone,283.0,,140.0,931.0,,,,1141,7,High
Cyclone,210.0,,188.0,941.0,,,,1011,1,Medium
Cyclone,347.0,,63.0,1014.0,,,,286,3,Low
Cyclone,198.0,,68.0,977.0,,,,444,3,Low
Cyclone,342.0,,224.0,909.0,,,,323,4,High
Cyclone,278.0,,165.0,1010.0,,,,929,3,Medium
Cyclone,217.0,,244.0,1014.0,,,,587,6,Medium
Cyclone,83.0,,235.0,935.0,,,,976,5,High
Cyclone,355.0,,149.0,933.0,,,,948,1,High
Cyclone,386.0,,155.0,972.0,,,,1352,1,Medium
Cyclone,342.0,,84.0,1005.0,,,,1078,2,Medium
Cyclone,167.0,,56.0,927.0,,,,1116,2,Medium
Cyclone,197.0,,147.0,910.0,,,,287,2,Medium
Cyclone,420.0,,250.0,977.0,,,,369,6,High
Cyclone,132.0,,82.0,938.0,,,,409,6,Medium
Cyclone,451.0,,68.0,1018.0,,,,1255,7,Medium
Cyclone,114.0,,94.0,946.0,,,,1195,6,Medium
Cyclone,346.0,,174.0,1017.0,,,,944,6,Medium
Cyclone,241.0,,187.0,918.0,,,,1310,6,High
Cyclone,32.0,,210.0,1017.0,,,,585,6,Medium
Cyclone,413.0,,42.0,914.0,,,,1314,5,High
Cyclone,208.0,,50.0,927.0,,,,219,6,Medium
Cyclone,371.0,,176.0,923.0,,,,319,7,High
Cyclone,332.0,,82.0,971.0,,,,152,3,Medium
Cyclone,481.0,,48.0,1006.0,,,,1360,3,Medium
Cyclone,361.0,,86.0,908.0,,,,857,4,High
Cyclone,67.0,,54.0,946.0,,,,837,5,Medium
Cyclone,449.0,,243.0,932.0,,,,819,2,High
Cyclone,268.0,,60.0,961.0,,,,505,0,Medium
Cyclone,198.0,,110.0,996.0,,,,707,6,Medium
Cyclone,482.0,,212.0,918.0,,,,1120,4,High
Cyclone,426.0,,52.0,966.0,,,,521,0,Medium
Cyclone,372.0,,61.0,973.0,,,,811,7,Medium
Cyclone,343.0,,219.0,939.0,,,,346,3,High
Cyclone,335.0,,103.0,946.0,,,,171,4,Medium
Cyclone,59.0,,39.0,1005.0,,,,284,7,Low
Cyclone,219.0,,229.0,964.0,,,,105,4,Medium
Cyclone,386.0,,83.0,928.0,,,,1329,1,Medium
Cyclone,54.0,,81.0,949.0,,,,1005,7,Medium
Cyclone,141.0,,177.0,997.0,,,,486,3,Medium
Cyclone,440.0,,189.0,1014.0,,,,798,3,Medium
Cyclone,464.0,,143.0,912.0,,,,1199,5,High
Cyclone,235.0,,43.0,1017.0,,,,1300,4,Low
Cyclone,214.0,,207.0,900.0,,,,926,6,High
Cyclone,411.0,,185.0,933.0,,,,448,3,High
Cyclone,408.0,,139.0,992.0,,,,1378,4,Medium
Cyclone,76.0,,82.0,947.0,,,,407,5,Medium
Cyclone,403.0,,181.0,1010.0,,,,1468,6,High
Cyclone,257.0,,108.0,976.0,,,,1250,7,Medium
Cyclone,68.0,,51.0,947.0,,,,386,5,Low
Cyclone,45.0,,59.0,948.0,,,,865,1,Low
Cyclone,51.0,,220.0,1016.0,,,,824,6,Medium
Cyclone,242.0,,33.0,963.0,,,,861,4,Medium
Cyclone,339.0,,234.0,960.0,,,,482,3,High
Cyclone,178.0,,88.0,928.0,,,,487,3,Medium
Cyclone,485.0,,244.0,938.0,,,,624,4,High
Cyclone,270.0,,37.0,987.0,,,,738,4,Low
Cyclone,301.0,,239.0,925.0,,,,1037,4,High
Cyclone,88.0,,41.0,916.0,,,,375,2,Low
Cyclone,316.0,,148.0,970.0,,,,599,6,Medium
Cyclone,455.0,,188.0,912.0,,,,816,3,High
Cyclone,231.0,,235.0,968.0,,,,436,6,High
Cyclone,61.0,,63.0,925.0,,,,1031,5,Medium
Cyclone,472.0,,111.0,948.0,,,,580,3,Medium
Cyclone,191.0,,127.0,966.0,,,,1010,2,Medium
Cyclone,284.0,,156.0,906.0,,,,1396,4,High
Cyclone,283.0,,104.0,957.0,,,,1181,1,Medium
Cyclone,38.0,,134.0,948.0,,,,1451,4,Medium
Cyclone,494.0,,233.0,1002.0,,,,208,7,High
Cyclone,168.0,,78.0,952.0,,,,1402,4,Medium
Cyclone,39.0,,108.0,964.0,,,,427,2,Low
Cyclone,243.0,,214.0,1012.0,,,,414,6,Medium
Cyclone,302.0,,122.0,961.0,,,,1234,3,Medium
Cyclone,353.0,,183.0,916.0,,,,798,4,High
Cyclone,77.0,,47.0,942.0,,,,880,3,Low
Cyclone,465.0,,125.0,924.0,,,,1352,0,High
Cyclone,140.0,,243.0,902.0,,,,255,5,High
Cyclone,182.0,,67.0,978.0,,,,1395,6,Medium
Cyclone,152.0,,238.0,928.0,,,,986,3,High
Cyclone,434.0,,116.0,1016.0,,,,1125,1,Medium
Cyclone,386.0,,117.0,1006.0,,,,857,5,Medium
Cyclone,131.0,,79.0,931.0,,,,821,7,Medium
Cyclone,270.0,,37.0,925.0,,,,1012,7,Medium
Cyclone,350.0,,198.0,915.0,,,,1409,1,High
Cyclone,220.0,,163.0,924.0,,,,970,4,High
Cyclone,246.0,,98.0,953.0,,,,112,5,Medium
Cyclone,80.0,,201.0,927.0,,,,707,3,Medium
Cyclone,321.0,,150.0,972.0,,,,597,5,Medium
Cyclone,110.0,,93.0,1019.0,,,,337,4,Low
Cyclone,412.0,,186.0,955.0,,,,1217,2,High
Cyclone,117.0,,185.0,964.0,,,,1461,6,Medium
Cyclone,223.0,,168.0,992.0,,,,880,1,Medium
Cyclone,133.0,,150.0,1020.0,,,,1294,4,Medium
Cyclone,300.0,,94.0,985.0,,,,705,2,Medium
Cyclone,125.0,,136.0,979.0,,,,760,5,Medium
Cyclone,452.0,,176.0,940.0,,,,948,5,High
Cyclone,408.0,,166.0,1014.0,,,,1035,4,Medium
Cyclone,227.0,,184.0,1007.0,,,,727,3,Medium
Cyclone,30.0,,191.0,950.0,,,,242,5,Medium
Cyclone,436.0,,201.0,1017.0,,,,1324,3,High
Cyclone,407.0,,225.0,1004.0,,,,1303,3,High
Cyclone,196.0,,129.0,970.0,,,,813,6,Medium
Cyclone,155.0,,111.0,977.0,,,,1487,3,Medium
Cyclone,342.0,,172.0,928.0,,,,578,0,High
Cyclone,110.0,,80.0,982.0,,,,664,6,Medium
Cyclone,447.0,,170.0,918.0,,,,570,2,High
Cyclone,280.0,,112.0,965.0,,,,483,2,Medium
Cyclone,198.0,,206.0,940.0,,,,1025,5,High
Cyclone,102.0,,227.0,944.0,,,,516,5,High
Cyclone,170.0,,141.0,914.0,,,,407,3,Medium
Cyclone,99.0,,85.0,902.0,,,,748,6,Medium
Cyclone,291.0,,233.0,910.0,,,,1490,6,High
Cyclone,369.0,,208.0,952.0,,,,1124,0,High
Cyclone,337.0,,194.0,945.0,,,,1167,3,High
Cyclone,274.0,,174.0,929.0,,,,838,0,Medium
Cyclone,32.0,,215.0,956.0,,,,1221,7,High
Cyclone,366.0,,244.0,1003.0,,,,1388,3,High
Cyclone,92.0,,247.0,917.0,,,,239,1,Medium
Cyclone,78.0,,186.0,950.0,,,,1360,1,Medium
Cyclone,105.0,,190.0,947.0,,,,1073,4,Medium
Cyclone,397.0,,89.0,965.0,,,,1116,3,Medium
Cyclone,204.0,,248.0,995.0,,,,1052,6,High
Cyclone,138.0,,246.0,907.0,,,,1003,5,High
Cyclone,212.0,,149.0,921.0,,,,171,2,Medium
Cyclone,221.0,,212.0,905.0,,,,1313,4,High
Cyclone,94.0,,167.0,975.0,,,,1391,5,Medium
Cyclone,366.0,,204.0,1010.0,,,,1444,1,Medium
Cyclone,480.0,,52.0,956.0,,,,206,3,Medium
Cyclone,300.0,,242.0,1003.0,,,,1355,4,High
Cyclone,129.0,,178.0,935.0,,,,1165,3,Medium
Cyclone,61.0,,42.0,978.0,,,,982,1,Low
Cyclone,381.0,,130.0,991.0,,,,238,4,Medium
Cyclone,157.0,,190.0,1015.0,,,,714,1,Medium
Cyclone,481.0,,53.0,956.0,,,,962,0,Medium
Cyclone,431.0,,137.0,948.0,,,,372,1,Medium
Cyclone,398.0,,40.0,944.0,,,,515,6,Medium
Cyclone,368.0,,46.0,981.0,,,,605,6,Medium
Cyclone,72.0,,225.0,965.0,,,,832,3,Medium
Cyclone,401.0,,204.0,976.0,,,,523,2,High
Cyclone,448.0,,54.0,944.0,,,,489,1,Medium
Cyclone,107.0,,123.0,1017.0,,,,441,5,Low
Cyclone,343.0,,230.0,978.0,,,,1045,6,High
